Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
17, 0.05, 0.132502, 0.00974723, -0.013259, 0.232156
17, 0.055, 0.143866, 0.0113872, -0.0160319, 0.27016
17, 0.06, 0.155111, 0.0131297, -0.0188246, 0.310412
17, 0.065, 0.166272, 0.0149697, -0.0216223, 0.35301
17, 0.07, 0.177374, 0.0169024, -0.0244146, 0.398067
17, 0.075, 0.188443, 0.0189235, -0.0271943, 0.445709
17, 0.08, 0.199496, 0.0210285, -0.0299565, 0.496071
17, 0.085, 0.210551, 0.0232133, -0.0326976, 0.549295
17, 0.09, 0.221621, 0.0254739, -0.0354156, 0.605522
17, 0.095, 0.232717, 0.0278064, -0.0381092, 0.664895
18, 0, 0.0011995, 0.000719195, -0.0124085, 0.00114987
18, 0.005, 0.0125956, 0.000804464, -0.0229472, 0.0053916
18, 0.01, 0.0238581, 0.00105913, -0.0338793, 0.022322
18, 0.015, 0.0348311, 0.00147493, -0.0449001, 0.0500992
18, 0.02, 0.0454555, 0.00204057, -0.0557475, 0.0868144
18, 0.025, 0.0557375, 0.00274504, -0.0662594, 0.130992
18, 0.03, 0.0657123, 0.00357885, -0.0763649, 0.181624
18, 0.035, 0.0754217, 0.00453408, -0.0860533, 0.238043
18, 0.04, 0.0849062, 0.0056041, -0.095346, 0.299812
18, 0.045, 0.0942014, 0.00678329, -0.104279, 0.366648
18, 0.05, 0.103338, 0.0080668, -0.112893, 0.438374
18, 0.055, 0.112343, 0.00945034, -0.121227, 0.514891
18, 0.06, 0.12124, 0.0109301, -0.129321, 0.596162
18, 0.065, 0.130048, 0.0125024, -0.13721, 0.682201
18, 0.07, 0.138785, 0.0141639, -0.144923, 0.773068
18, 0.075, 0.147468, 0.0159112, -0.152491, 0.868862
18, 0.08, 0.15611, 0.017741, -0.159938, 0.969717
18, 0.085, 0.164726, 0.0196498, -0.167287, 1.0758
18, 0.09, 0.173326, 0.0216342, -0.174558, 1.18731
18, 0.095, 0.181921, 0.0236905, -0.181768, 1.30446
19, 0, -0.00330738, 0.00292948, -0.0471668, 0.010752
19, 0.005, 0.00414108, 0.00287148, -0.063428, 0.0123114
19, 0.01, 0.0116247, 0.00288051, -0.0799108, 0.0194458
19, 0.015, 0.0191944, 0.00293089, -0.0965725, 0.0324176
19, 0.02, 0.0267247, 0.00309128, -0.113563, 0.0512373
19, 0.025, 0.0341112, 0.00339633, -0.130792, 0.0752689
19, 0.03, 0.0414107, 0.00380116, -0.148034, 0.10421
19, 0.035, 0.0485728, 0.00431228, -0.165122, 0.137281
19, 0.04, 0.055568, 0.00492881, -0.181901, 0.173635
19, 0.045, 0.0623856, 0.005646, -0.198267, 0.212518
19, 0.05, 0.0690328, 0.00645656, -0.214171, 0.253387
19, 0.055, 0.0755288, 0.00735243, -0.229618, 0.295932
19, 0.06, 0.0818968, 0.00832605, -0.244642, 0.340023
19, 0.065, 0.0881598, 0.00937106, -0.259289, 0.385635
19, 0.07, 0.0943379, 0.0104823, -0.273608, 0.432805
19, 0.075, 0.100448, 0.0116554, -0.287643, 0.481594
19, 0.08, 0.106505, 0.0128872, -0.301436, 0.532081
19, 0.085, 0.11252, 0.0141745, -0.315022, 0.58435
19, 0.09, 0.118503, 0.0155148, -0.328431, 0.638488
19, 0.095, 0.124464, 0.016906, -0.341691, 0.694587
20, 0, -0.0109101, 0.00471485, 0.0252211, 0.0182086
20, 0.005, -0.00418043, 0.00446213, 0.0301635, 0.0155576
20, 0.01, 0.00257908, 0.00428559, 0.0351098, 0.0148504
20, 0.015, 0.00936512, 0.00418615, 0.0400629, 0.0161336
20, 0.02, 0.0161742, 0.00416431, 0.0450256, 0.0194489
20, 0.025, 0.0230035, 0.0042198, 0.049999, 0.0248314
20, 0.03, 0.0298525, 0.00435133, 0.0549803, 0.0323129
20, 0.035, 0.0367249, 0.00455636, 0.0599601, 0.0419291
